date,precipitation,atmospheric_pressure_season_level_hourly,max_atmospheric_pressure_previous_hour,atmospheric_pressure_min_earliest_hour,global_radiation,air_temperature_dry_bulb_hours,dew_point_temperature,maximum_temperature_previous_hour,minimum_temperature_previous_hour,dew_temperature_max_earliest_hour,dew_temperature_min_earliest_hour,humidity_rel_max_earliest_hour,humidity_rel_min_earliest_hour,relative_air_humidity_hourly,wind_clockwise_direction,wind_maximum_gust,wind_hourly_speed
2000-05-07 00:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 01:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 02:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 03:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 04:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 05:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 06:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 07:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 08:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 09:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 10:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 11:00:00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2000-05-07 12:00:00,0.00,888.20,888.20,887.70,1506.00,22.60,14.70,22.60,20.70,15.10,14.30,69.00,60.00,61.00,126.00,3.80,1.80
2000-05-07 13:00:00,0.00,888.40,888.40,888.20,2230.00,24.20,14.70,24.20,22.50,15.30,14.20,62.00,55.00,55.00,75.00,4.70,2.70
2000-05-07 14:00:00,0.00,888.10,888.40,888.10,2675.00,25.00,14.10,25.50,24.30,15.00,13.60,56.00,50.00,51.00,117.00,4.90,2.00
2000-05-07 15:00:00,0.00,887.40,888.10,887.40,2915.00,26.20,13.20,27.40,25.00,15.50,13.20,52.00,44.00,44.00,58.00,5.80,2.50
2000-05-07 16:00:00,0.00,886.50,887.40,886.50,2523.00,26.70,14.00,27.10,25.50,15.30,13.10,50.00,43.00,46.00,167.00,5.80,2.40
2000-05-07 17:00:00,0.00,885.90,886.50,885.90,2435.00,26.60,13.60,27.40,25.90,14.30,13.00,48.00,41.00,45.00,178.00,4.30,1.80
2000-05-07 18:00:00,0.00,885.50,885.90,885.50,2530.00,28.00,12.40,28.30,26.80,14.50,11.50,46.00,36.00,38.00,125.00,6.30,1.80
2000-05-07 19:00:00,0.00,885.60,885.60,885.40,1412.00,26.60,12.50,28.10,26.60,13.50,11.50,43.00,37.00,41.00,53.00,3.80,1.10
